nrg_bal,siec,unit,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 
FC_OTH_HH_E,E7000,GWH,AL	3469.079 	3120.242 	3146.976 	2934.535 	2990.930 	3240.375 	3500.001 	4066.970 	3065.799 	2936.634 	2997.450 
FC_OTH_HH_E,E7000,GWH,AT	18006.175 	18336.543 	17942.604 	17998.218 	17838.838 	17215.299 	16815.552 	17649.164 	17541.316 	17273.639 	17657.493 
FC_OTH_HH_E,E7000,GWH,BA	4795.000 	4725.999 	4685.000 	4755.000 	4734.000 	4725.000 	4604.000 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,GWH,BE	18597.000 	18380.500 	18483.300 	18509.100 	18829.900 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,GWH,BG	11356.181 	10843.892 	10963.025 	11137.538 	10733.000 	10644.000 	10590.000 	10537.000 	10838.000 	10912.000 	10559.000 
FC_OTH_HH_E,E7000,GWH,CY	1805.835 	1769.692 	1688.278 	: 	: 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,GWH,CZ	15972.500 	15256.834 	15049.536 	15211.299 	14935.000 	14382.000 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,GWH,DE	127031.999 	126539.000 	127880.001 	130924.000 	128200.000 	128700.000 	129600.000 	136000.000 	137000.000 	136600.000 	141700.000 
FC_OTH_HH_E,E7000,GWH,DK	10945.963 	10241.653 	9741.835 	9863.889 	10296.111 	10176.668 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,GWH,EA19	569351.085 	565262.536 	567043.283 	567181.171 	561631.069 	533777.057 	410307.770 	453815.818 	433806.629 	422574.960 	442067.977 
FC_OTH_HH_E,E7000,GWH,EE	1998.000 	2069.997 	1860.137 	1940.278 	1913.272 	1728.246 	1739.248 	1865.267 	1956.280 	1934.277 	2023.289 
FC_OTH_HH_E,E7000,GWH,EL	17486.201 	17377.539 	16762.610 	19627.852 	19996.900 	17537.900 	: 	17446.111 	: 	: 	: 
FC_OTH_HH_E,E7000,GWH,ES	71514.732 	72986.673 	74958.730 	71477.339 	69688.734 	70059.172 	70695.037 	71051.829 	74993.975 	76083.213 	75688.990 
FC_OTH_HH_E,E7000,GWH,EU27_2020	712051.302 	705920.156 	707501.262 	: 	: 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,GWH,FI	22041.000 	22546.000 	22896.000 	22512.000 	22518.000 	20918.000 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,GWH,FR	161498.532 	159722.078 	160235.864 	161122.891 	163104.102 	157301.715 	150814.993 	168129.225 	160088.182 	148030.183 	161520.000 
FC_OTH_HH_E,E7000,GWH,GE	2565.000 	2461.000 	2484.000 	2460.897 	2376.949 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,GWH,HR	6076.900 	6205.900 	6201.701 	6265.701 	6128.000 	6202.500 	6032.900 	6237.000 	6486.500 	6540.400 	6664.699 
FC_OTH_HH_E,E7000,GWH,HU	12128.889 	11618.056 	11369.999 	11248.724 	10954.000 	10839.000 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,GWH,IE	8737.969 	8132.950 	8173.776 	7959.019 	7872.744 	7880.761 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,GWH,IT	66211.648 	65588.003 	65137.795 	65490.699 	64304.000 	66187.000 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,GWH,LT	3044.200 	2912.700 	2984.500 	2837.600 	: 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,GWH,LU	939.627 	909.369 	928.318 	969.416 	975.786 	989.287 	1010.906 	979.183 	916.445 	851.610 	815.153 
FC_OTH_HH_E,E7000,GWH,LV	1751.017 	1649.382 	1670.083 	1656.474 	1793.000 	1759.000 	1747.000 	1783.000 	1776.000 	1772.000 	1938.000 
FC_OTH_HH_E,E7000,GWH,MD	1730.000 	1671.000 	1642.000 	1636.000 	: 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,GWH,MK	3360.900 	3252.800 	2998.813 	3096.598 	3057.300 	3053.751 	3045.900 	3065.000 	3262.600 	3345.200 	3233.000 
FC_OTH_HH_E,E7000,GWH,MT	878.469 	858.204 	794.793 	727.921 	665.944 	656.000 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,GWH,NL	24644.568 	23389.046 	22970.680 	22593.419 	22584.579 	22620.420 	22829.305 	23360.959 	23363.329 	23043.000 	22994.000 
FC_OTH_HH_E,E7000,GWH,NO	38072.818 	40118.000 	40218.000 	39660.000 	38803.000 	38610.000 	36886.000 	38904.000 	38251.000 	36058.000 	39732.000 
FC_OTH_HH_E,E7000,GWH,PL	30027.000 	29393.000 	29284.000 	29181.000 	28909.000 	28262.000 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,GWH,PT	13656.000 	13223.000 	13213.000 	12590.000 	12973.000 	11974.000 	11915.000 	12314.000 	12898.000 	13752.000 	14522.000 
FC_OTH_HH_E,E7000,GWH,RO	13619.784 	12984.285 	12779.883 	12596.670 	12066.693 	12094.502 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,GWH,RS	13718.132 	13340.165 	13414.571 	13815.010 	13931.000 	14062.000 	13802.000 	14146.000 	14517.000 	14665.000 	14645.000 
